date version nhelpfiles nobjects ndatasets Rlines srclines
"2017-09-08" "1.0-0" 55 0 54 0 0
"2017-09-13" "1.0-1" 55 0 54 0 0
"2017-09-21" "1.1-0" 56 0 54 0 0
"2017-10-11" "1.1-1" 56 0 54 0 0
"2017-11-15" "1.2-0" 57 0 55 0 0
"2017-11-23" "1.2-1" 57 0 55 0 0
"2018-03-04" "1.3-0" 57 0 55 0 0
"2018-06-11" "1.3-1" 57 0 55 0 0
"2018-09-07" "1.3-2" 57 0 55 0 0
"2018-10-01" "1.4-0" 57 0 55 0 0
